19 OFFICIAL {'video': {'max_abs': 4.00543212890625e-05, 'rmse': 4.386700396167355e-07, 'violations': 0}, 'text': {'max_abs': 0.00048828125, 'rmse': 1.4944639462030242e-06, 'violations': 0}}
20 OFFICIAL {'video': {'max_abs': 2.6702880859375e-05, 'rmse': 5.04556643328777e-07, 'violations': 0}, 'text': {'max_abs': 0.0009765625, 'rmse': 2.7005511948320885e-06, 'violations': 0}}
21 OFFICIAL {'video': {'max_abs': 3.0517578125e-05, 'rmse': 4.542516807724477e-07, 'violations': 0}, 'text': {'max_abs': 0.0009765625, 'rmse': 2.618937527269842e-06, 'violations': 0}}
22 OFFICIAL {'video': {'max_abs': 4.57763671875e-05, 'rmse': 4.4154465266597125e-07, 'violations': 0}, 'text': {'max_abs': 6.103515625e-05, 'rmse': 4.821374876432761e-07, 'violations': 0}}
23 OFFICIAL {'video': {'max_abs': 2.002716064453125e-05, 'rmse': 4.092865548212912e-07, 'violations': 0}, 'text': {'max_abs': 0.00048828125, 'rmse': 2.2325374995339382e-06, 'violations': 0}}
24 OFFICIAL {'video': {'max_abs': 2.6702880859375e-05, 'rmse': 4.3532206087447344e-07, 'violations': 0}, 'text': {'max_abs': 0.0001220703125, 'rmse': 6.419004914630855e-07, 'violations': 0}}
25 OFFICIAL {'video': {'max_abs': 2.574920654296875e-05, 'rmse': 4.581774732805488e-07, 'violations': 0}, 'text': {'max_abs': 0.000244140625, 'rmse': 9.600064857227586e-07, 'violations': 0}}
26 OFFICIAL {'video': {'max_abs': 2.288818359375e-05, 'rmse': 5.014982559211679e-07, 'violations': 0}, 'text': {'max_abs': 0.0001220703125, 'rmse': 6.722673968696134e-07, 'violations': 0}}
27 OFFICIAL {'video': {'max_abs': 3.0517578125e-05, 'rmse': 5.36235382812269e-07, 'violations': 0}, 'text': {'max_abs': 0.0003662109375, 'rmse': 1.793971090647026e-06, 'violations': 0}}
28 OFFICIAL {'video': {'max_abs': 2.3365020751953125e-05, 'rmse': 6.255011719515886e-07, 'violations': 0}, 'text': {'max_abs': 0.0009765625, 'rmse': 2.968232732319497e-06, 'violations': 0}}
29 OFFICIAL {'video': {'max_abs': 4.57763671875e-05, 'rmse': 8.000685227980466e-07, 'violations': 0}, 'text': {'max_abs': 0.0010986328125, 'rmse': 1.0049093160544647e-05, 'violations': 0}}
30 OFFICIAL {'video': {'max_abs': 7.62939453125e-05, 'rmse': 1.057459430268815e-06, 'violations': 0}, 'text': {'max_abs': 0.00048828125, 'rmse': 1.971161504516403e-06, 'violations': 0}}
31 OFFICIAL {'video': {'max_abs': 5.340576171875e-05, 'rmse': 9.511220253807731e-07, 'violations': 0}, 'text': {'max_abs': 0.000244140625, 'rmse': 3.3511367403215395e-06, 'violations': 0}}
