0 OFFICIAL {'video': {'max_abs': 3.814697265625e-05, 'rmse': 4.7441396079711384e-07, 'violations': 0}, 'text': {'max_abs': 0.0001678466796875, 'rmse': 1.003428729983757e-06, 'violations': 0}}
1 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.4332275390625e-05, 'rmse': 4.49869322711397e-07, 'violations': 0}, 'text': {'max_abs': 0.00018310546875, 'rmse': 1.0690298057272312e-06, 'violations': 0}}
2 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.4332275390625e-05, 'rmse': 4.4727494813410666e-07, 'violations': 0}, 'text': {'max_abs': 0.0003509521484375, 'rmse': 1.7413904037346666e-06, 'violations': 0}}
3 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.4332275390625e-05, 'rmse': 4.6457951601035687e-07, 'violations': 0}, 'text': {'max_abs': 0.00022125244140625, 'rmse': 1.7654619425274064e-06, 'violations': 0}}
4 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.4332275390625e-05, 'rmse': 5.029516705893732e-07, 'violations': 0}, 'text': {'max_abs': 0.00042724609375, 'rmse': 3.086126398788919e-06, 'violations': 0}}
5 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.4332275390625e-05, 'rmse': 5.425981077660989e-07, 'violations': 0}, 'text': {'max_abs': 0.0004119873046875, 'rmse': 3.043545063978171e-06, 'violations': 0}}
6 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.814697265625e-05, 'rmse': 5.752836323469909e-07, 'violations': 0}, 'text': {'max_abs': 0.0003662109375, 'rmse': 2.972879939267258e-06, 'violations': 0}}
7 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.0517578125e-05, 'rmse': 5.992084034962404e-07, 'violations': 0}, 'text': {'max_abs': 0.00035858154296875, 'rmse': 2.938827542142058e-06, 'violations': 0}}
8 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 4.38690185546875e-05, 'rmse': 6.68354138584031e-07, 'violations': 0}, 'text': {'max_abs': 0.00022125244140625, 'rmse': 3.1289216178450676e-06, 'violations': 0}}
9 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 4.1961669921875e-05, 'rmse': 7.446005656391539e-07, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.0001859732927348981, 'violations': 0}}
10 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 3.62396240234375e-05, 'rmse': 7.920375401723526e-07, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018586415377750797, 'violations': 0}}
11 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 4.00543212890625e-05, 'rmse': 8.417257515521376e-07, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018546842585679668, 'violations': 0}}
12 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 6.103515625e-05, 'rmse': 9.659521905719807e-07, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018538774350434784, 'violations': 0}}
13 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 4.291534423828125e-05, 'rmse': 1.0363447181467797e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.0001849861713388455, 'violations': 0}}
14 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 9.250640869140625e-05, 'rmse': 1.2129900812017213e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018438994361005923, 'violations': 0}}
15 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.00014209747314453125, 'rmse': 1.4373013212570828e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018433624804618654, 'violations': 0}}
16 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.0007381439208984375, 'rmse': 2.6199378012206935e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018436108106110804, 'violations': 0}}
17 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.0006561279296875, 'rmse': 2.8929628773194907e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018415072127783304, 'violations': 0}}
18 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.000621795654296875, 'rmse': 2.950153501204355e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.00018446248825466232, 'violations': 0}}
19 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.0009021759033203125, 'rmse': 3.7078737704618558e-06, 'violations': 0}, 'text': {'max_abs': 0.0263671875, 'rmse': 0.0001845852425684113, 'violations': 0}}
20 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.000690460205078125, 'rmse': 3.6625054796490866e-06, 'violations': 0}, 'text': {'max_abs': 0.02734375, 'rmse': 0.00018556800556325382, 'violations': 0}}
21 NATIVE_PREVIOUS_BLOCK {'video': {'max_abs': 0.0005359649658203125, 'rmse': 3.789843391806182e-06, 'violations': 0}, 'text': {'max_abs': 0.02734375, 'rmse': 0.00018537484230114819, 'violations': 0}}
